Unemployment Rates for States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unemployment Rates for States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annual Average Rankings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Annual Average Rankings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012 - 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000-2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023,,,2022,,,2021,,,2020,,,2019,,,2018,,,2017,,,2016,,,2015,,,2014,,,2013,,,2012,,,2011,,,2010,,,2009,,,2008,,,2007,,,2006,,,2005,,,2004,,,2003,,,2002,,,2001,,,2000,,
State,Rate,Rank,,Rate,Rank,,Rate,Rank,,Rate,Rank,,Rate,Rank,,Rate,Rank,,Rate,Rank,,Rate,Rank,,Rate,Rank,,Rate,Rank,,Rate,Rank,,Rate,Rank,,Rate,Rank,,Rate,Rank,,Rate,Rank,,Rate,Rank,,Rate,Rank,,Rate,Rank,,Rate,Rank,,Rate,Rank,,Rate,Rank,,Rate,Rank,,Rate,Rank,,Rate,Rank,
United States,3.6,---,,3.6,---,,5.3,---,,8.1,---,,3.7,---,,3.9,---,,4.4,---,,4.9,---,,5.3,---,,6.2,---,,7.4,---,,8.1,---,,8.9,---,,9.6,---,,9.3,---,,5.8,---,,4.6,---,,4.6,---,,5.1,---,,5.5,---,,6.0,---,,5.8,---,,4.7,---,,4.0,---,
Alabama,2.5,7,,2.5,7,,3.4,6,,6.4,17,,3.2,16,,3.9,27,,4.5,30,,5.9,44,,6.1,41,,6.7,39,,7.3,31,,8.2,33,,9.6,39,,10.4,41,,10.1,38,,5.8,33,,4.1,20,,4.0,16,,4.4,17,,5.6,32,,6.0,34,,5.9,36,,5.2,37,,4.6,40,
Alaska,4.2,44,,4.2,45,,6.4,44,,8.3,39,,5.6,51,,6.0,51,,6.5,5,,6.6,50,,6.3,44,,6.7,39,,7.0,28,,7.2,22,,7.8,22,,8.2,20,,8.0,21,,6.5,39,,6.3,50,,6.6,49,,6.9,47,,7.4,48,,7.7,50,,7.2,50,,6.3,49,,6.3,51,
Arizona,3.9,38,,3.8,32,,5.1,27,,7.8,31,,4.8,46,,4.8,45,,5.0,42,,5.5,41,,6.1,41,,6.8,43,,7.8,36,,8.3,36,,9.4,36,,10.3,38,,9.7,36,,5.8,33,,3.8,17,,4.3,23,,4.7,23,,5.0,20,,5.8,30,,6.2,38,,4.7,30,,4.0,29,
Arkansas,3.3,27,,3.2,23,,4.0,18,,6.2,13,,3.5,25,,3.7,23,,3.7,16,,4.0,14,,5.0,23,,5.9,24,,7.1,29,,7.3,26,,7.9,25,,7.9,17,,7.7,18,,5.4,27,,5.4,44,,5.2,40,,5.3,32,,5.6,32,,5.8,30,,5.3,23,,4.8,31,,4.2,34,
California,4.8,49,,4.3,46,,7.3,51,,10.1,49,,4.1,38,,4.2,37,,4.8,38,,5.5,41,,6.3,44,,7.6,47,,9.0,48,,10.5,50,,11.9,50,,12.5,50,,11.5,49,,7.3,48,,5.3,43,,4.9,33,,5.4,33,,6.2,43,,6.9,45,,6.8,46,,5.5,44,,4.9,43,
Colorado,3.2,23,,3.1,19,,5.5,35,,6.8,24,,2.7,6,,3.0,10,,2.6,2,,3.1,4,,3.7,8,,5.0,15,,6.7,21,,8.0,31,,8.7,31,,9.2,30,,7.9,19,,4.9,18,,3.7,14,,4.2,20,,5.1,28,,5.6,32,,6.1,35,,5.7,30,,3.8,11,,2.7,4,
Connecticut,3.8,36,,4.1,40,,6.4,44,,8.0,34,,3.6,30,,3.9,27,,4.4,29,,4.8,27,,5.6,34,,6.6,36,,8.0,42,,8.4,37,,9.0,34,,9.6,32,,8.3,24,,5.6,31,,4.5,26,,4.4,24,,4.8,22,,5.1,23,,5.5,20,,4.4,9,,2.9,2,,2.1,1,
Delaware,4.0,42,,4.3,46,,5.5,35,,7.5,28,,3.6,30,,3.7,23,,4.5,30,,4.5,21,,4.8,20,,5.6,19,,6.6,18,,7.1,21,,7.6,19,,8.7,25,,8.4,27,,5.0,21,,3.6,12,,3.9,14,,4.5,19,,4.3,10,,4.5,9,,4.3,8,,3.6,9,,3.6,20,
District of Columbia,4.9,50,,4.7,50,,6.8,47,,7.9,32,,5.5,49,,5.7,50,,6.1,49,,6.2,49,,6.9,51,,7.7,49,,8.4,44,,9.0,42,,10.2,46,,10.0,35,,10.0,37,,6.8,45,,6.0,47,,6.3,47,,7.0,48,,8.1,51,,7.3,49,,7.0,48,,6.5,51,,5.7,50,
Florida,2.9,11,,3.0,17,,4.7,24,,8.1,36,,3.3,20,,3.6,22,,4.3,26,,4.9,28,,5.5,32,,6.4,33,,7.5,33,,8.6,38,,10.0,43,,10.8,46,,9.6,35,,5.7,32,,3.3,8,,2.5,1,,2.9,2,,3.8,5,,4.5,9,,4.9,17,,4.4,22,,3.8,25,
Georgia,3.2,23,,3.1,19,,3.9,13,,6.5,21,,3.6,30,,4.0,30,,4.8,38,,5.4,39,,6.1,41,,7.1,44,,8.1,43,,9.0,42,,10.1,45,,10.7,43,,10.4,42,,6.8,45,,4.9,37,,5.1,38,,5.7,41,,5.1,23,,5.1,15,,5.3,23,,4.1,16,,3.5,18,
Hawaii,3.0,17,,3.3,26,,6.0,42,,11.7,50,,2.5,3,,2.4,1,,2.2,1,,2.9,1,,3.4,4,,4.2,6,,4.8,7,,5.9,13,,6.8,13,,6.8,8,,6.7,9,,4.0,8,,2.7,3,,2.5,1,,2.8,1,,3.3,1,,3.9,3,,4.0,5,,4.3,20,,4.2,34,
Idaho,3.1,22,,2.8,12,,3.6,9,,5.5,7,,2.9,11,,2.9,7,,3.2,10,,3.7,10,,3.9,11,,4.4,12,,6.8,25,,7.4,27,,8.2,27,,8.8,28,,8.7,30,,5.0,21,,3.1,7,,3.4,10,,4.0,10,,4.9,18,,5.6,23,,5.6,28,,5.1,36,,4.7,41,
Illinois,4.5,48,,4.6,49,,6.1,43,,9.3,44,,4.0,37,,4.4,40,,4.9,41,,5.9,44,,6.0,39,,7.2,45,,9.1,49,,9.0,42,,9.8,41,,10.5,42,,10.2,40,,6.5,39,,5.1,38,,4.6,27,,5.7,41,,6.2,43,,6.7,42,,6.6,45,,5.4,42,,4.4,37,
Indiana,3.3,27,,3.1,19,,3.9,13,,7.3,26,,3.3,20,,3.4,17,,3.5,13,,4.4,20,,4.8,20,,5.9,24,,7.5,33,,8.2,33,,8.9,33,,10.1,36,,10.5,43,,5.9,35,,4.6,28,,5.0,35,,5.4,33,,5.4,28,,5.3,17,,5.2,21,,4.2,17,,3.0,10,
Iowa,2.9,11,,2.8,12,,3.8,12,,5.2,6,,2.7,6,,2.6,4,,3.1,7,,3.6,9,,3.7,8,,4.2,6,,4.7,6,,5.1,6,,5.6,5,,6.1,4,,6.4,7,,4.1,9,,3.7,14,,3.7,12,,4.3,15,,4.5,12,,4.4,7,,4.0,5,,3.3,5,,2.7,4,
Kansas,2.7,9,,2.6,8,,3.3,5,,5.8,9,,3.2,16,,3.4,17,,3.6,15,,4.0,14,,4.2,12,,4.5,13,,5.3,11,,5.7,11,,6.4,9,,7.0,10,,6.9,12,,4.6,14,,4.3,23,,4.4,24,,5.1,28,,5.5,30,,5.5,20,,5.1,18,,4.3,20,,3.8,25,
Kentucky,4.2,44,,4.0,38,,4.5,21,,6.5,21,,4.1,38,,4.2,37,,4.8,38,,5.0,32,,5.2,27,,6.4,33,,7.9,41,,8.2,33,,9.4,36,,10.3,38,,10.8,44,,6.5,39,,5.4,44,,5.7,46,,5.9,43,,5.5,30,,6.2,37,,5.8,33,,5.2,37,,4.1,31,
Louisiana,3.7,34,,3.7,29,,5.6,38,,8.6,41,,4.6,45,,4.8,45,,5.1,46,,6.1,47,,6.3,44,,6.3,30,,6.4,16,,6.7,15,,7.4,18,,7.5,14,,6.8,10,,4.7,15,,4.1,20,,4.1,18,,7.2,49,,5.7,36,,6.3,39,,6.0,37,,5.6,46,,5.2,46,
Maine,2.9,11,,2.8,12,,4.7,24,,5.1,5,,2.9,11,,3.2,14,,3.4,12,,3.8,11,,4.4,16,,5.6,19,,6.7,21,,7.2,22,,7.7,21,,8.4,23,,8.4,27,,5.3,24,,4.7,34,,4.7,29,,4.9,25,,4.7,16,,5.1,15,,4.5,11,,3.8,11,,3.3,14,
Maryland,2.1,4,,3.0,17,,5.2,30,,6.4,17,,3.4,24,,3.8,26,,4.0,21,,4.3,18,,5.0,23,,5.7,21,,6.5,17,,6.9,18,,7.3,17,,7.8,15,,7.6,17,,4.5,12,,3.7,14,,4.2,20,,4.5,19,,4.6,14,,4.8,13,,4.8,16,,4.2,17,,3.5,18,
Massachusetts,3.4,30,,3.7,29,,5.4,33,,9.3,44,,3.0,13,,3.5,20,,3.8,20,,4.0,14,,4.8,20,,5.7,21,,6.6,18,,6.7,15,,7.2,15,,8.1,19,,8.1,23,,5.3,24,,4.5,26,,4.7,29,,4.8,22,,5.1,23,,5.7,27,,5.2,21,,3.8,11,,2.8,7,
