Years,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
2022,2.778175E11,6.3618E10,4.589498E11,1.652206E11,3.5981027E12,4.843715E11,3.218446E11,8.75248E10,1.623144E11,1.3890697E12,7.556979E11,9.82188E10,1.095465E11,1.0333101E12,4.557502E11,2.311078E11,2.106705E11,2.603041E11,2.814293E11,8.44975E10,4.701871E11,6.883916E11,6.206956E11,4.464995E11,1.387397E11,3.899312E11,6.50145E10,1.61702E11,2.159178E11,1.054144E11,7.454222E11,1.221148E11,2.0531797E12,7.300724E11,7.32671E10,8.226697E11,2.405343E11,2.991255E11,9.230888E11,7.14022E10,2.958805E11,6.75707E10,4.757551E11,2.3559597E12,2.481763E11,4.06171E10,6.493926E11,7.255135E11,9.55884E10,4.017915E11,4.74325E10
2021,2.541097E11,5.73494E10,4.200267E11,1.486761E11,3.3732407E12,4.363595E11,2.983952E11,8.116E10,1.536705E11,1.2555583E12,6.916269E11,9.10961E10,9.62828E10,9.456738E11,4.129752E11,2.168602E11,1.913806E11,2.37182E11,2.585713E11,7.79633E10,4.439299E11,6.413322E11,5.722058E11,4.124586E11,1.273077E11,3.58572E11,5.86998E10,1.462854E11,1.944866E11,9.96733E10,6.829459E11,1.095828E11,1.9012965E12,6.621208E11,6.35596E10,7.566172E11,2.153363E11,2.721909E11,8.444965E11,6.65709E10,2.698025E11,6.16847E10,4.271255E11,2.0517686E12,2.253403E11,3.71038E10,6.049576E11,6.774895E11,8.54342E10,3.686113E11,4.15102E10
2020,2.308921E11,5.04752E10,3.820723E11,1.339691E11,3.0201734E12,3.912633E11,2.762233E11,7.58186E10,1.4472E11,1.1167268E12,6.254257E11,8.25355E10,8.59278E10,8.569429E11,3.737816E11,1.969829E11,1.775809E11,2.168656E11,2.325278E11,7.074E10,4.10931E11,5.851503E11,5.201053E11,3.768144E11,1.151234E11,3.302499E11,5.23558E10,1.345808E11,1.725626E11,8.83377E10,6.200859E11,9.879E10,1.7408047E12,5.989159E11,5.44229E10,6.843825E11,1.900636E11,2.479667E11,7.716132E11,6.07706E10,2.453595E11,5.56812E10,3.790071E11,1.7899334E12,2.021334E11,3.40186E10,5.569926E11,6.129691E11,7.65479E10,3.405911E11,3.63304E10
2019,2.315619E11,5.47282E10,3.723935E11,1.315783E11,3.0426941E12,3.945347E11,2.885363E11,7.69237E10,1.439908E11,1.1113922E12,6.379925E11,9.19127E10,8.28472E10,8.895401E11,3.811323E11,1.957087E11,1.765644E11,2.184947E11,2.554819E11,6.86904E10,4.203713E11,5.899043E11,5.32217E11,3.839566E11,1.142344E11,3.324858E11,5.19254E10,1.318669E11,1.821863E11,8.73382E10,6.376304E11,1.020275E11,1.787666E12,5.94521E11,5.91992E10,6.971668E11,2.041925E11,2.472331E11,7.998888E11,6.16428E10,2.459872E11,5.40013E10,3.801285E11,1.8587578E12,1.965389E11,3.42308E10,5.577644E11,5.952318E11,7.93256E10,3.452364E11,3.9428E10
2018,2.238593E11,5.48996E10,3.518795E11,1.275357E11,2.8972007E12,3.722121E11,2.79923E11,7.21683E10,1.397225E11,1.0572553999999999E12,6.023664E11,9.03308E10,7.73954E10,8.65661E11,3.731968E11,1.915166E11,1.72343E11,2.085586E11,2.566778E11,6.54771E10,4.108122E11,5.630543E11,5.202451E11,3.720113E11,1.122017E11,3.181535E11,5.09169E10,1.270155E11,1.702576E11,8.38698E10,6.141065E11,9.7268E10,1.6976614E12,5.678362E11,5.92487E10,6.671156E11,2.027125E11,2.371137E11,7.739774E11,5.92908E10,2.332514E11,5.22993E10,3.630555E11,1.8093967E12,1.844575E11,3.30668E10,5.329065E11,5.643139E11,7.91929E10,3.324986E11,3.91717E10
2017,2.146063E11,5.33015E10,3.320018E11,1.224667E11,2.7287431E12,3.491565E11,2.714432E11,6.83025E10,1.332435E11,1.003144E12,5.737772E11,8.72174E10,7.17303E10,8.249134E11,3.52601E11,1.845613E11,1.651825E11,2.018722E11,2.412134E11,6.22536E10,4.00157E11,5.31008E11,5.021304E11,3.536649E11,1.096008E11,3.080023E11,4.85339E10,1.217266E11,1.606531E11,8.0598E10,5.87421E11,9.22736E10,1.6046499E12,5.485221E11,5.53947E10,6.456368E11,1.90553E11,2.226016E11,7.46441E11,5.8085E10,2.232667E11,5.02325E10,3.508387E11,1.6732343E12,1.686499E11,3.22661E10,5.111149E11,5.194096E11,7.48201E10,3.183104E11,3.69807E10
2016,2.073684E11,5.07277E10,3.130814E11,1.191524E11,2.569634E12,3.299117E11,2.636703E11,6.9355E10,1.296486E11,9.533525E11,5.475466999999999E11,8.39144E10,6.88374E10,8.070432E11,3.405007E11,1.810114E11,1.60451E11,1.964849E11,2.270907E11,6.02544E10,3.877334E11,5.146376E11,4.90264E11,3.440608E11,1.072914E11,3.009145E11,4.54909E10,1.181459E11,1.518404E11,7.90901E10,5.75501E11,8.97694E10,1.5513541E12,5.260298000000001E11,5.19892E10,6.232653E11,1.812444E11,2.113059E11,7.265619E11,5.73535E10,2.151202E11,4.91514E10,3.364139E11,1.5790149E12,1.578273E11,3.16612E10,4.960211E11,4.872751E11,7.09244E10,3.140733E11,3.5879E10
2015,2.023724E11,5.14909E10,2.993933E11,1.177868E11,2.4735559E12,3.207211E11,2.594878E11,7.19139E10,1.246047E11,9.085199E11,5.210082E11,8.12303E10,6.58999E10,7.999305E11,3.319457E11,1.802993E11,1.549582E11,1.934131E11,2.351135E11,5.81313E10,3.697281E11,4.988513E11,4.749833E11,3.355302E11,1.059146E11,2.969293E11,4.66041E10,1.165146E11,1.451159E11,7.6478E10,5.632338E11,9.02743E10,1.4876276E12,5.089287E11,5.59969E10,6.110195E11,1.868156E11,2.006596E11,7.142029E11,5.63908E10,2.058167E11,4.80702E10,3.25294E11,1.5734984E12,1.491534E11,3.09333E10,4.837865E11,4.666897E11,7.13185E10,3.075079E11,3.84269E10
2014,1.974069E11,5.64849E10,2.876666E11,1.161394E11,2.3352865E12,3.095426E11,2.46597E11,6.83547E10,1.194146E11,8.516924E11,4.900793E11,7.67733E10,6.45752E10,7.713561E11,3.279583E11,1.730959E11,1.501836E11,1.879838E11,2.407373E11,5.64108E10,3.527613E11,4.704685E11,4.517732E11,3.247514E11,1.043003E11,2.875075E11,4.51772E10,1.119459E11,1.360087E11,7.29952E10,5.428428000000001E11,9.21857E10,1.4309233E12,4.831913E11,5.99263E10,5.956409E11,1.966316E11,1.881207E11,6.941426E11,5.45597E10,1.943527E11,4.67854E10,3.061531E11,1.5792995E12,1.421501E11,3.00994E10,4.651818E11,4.40648E11,7.26482E10,2.95696E11,4.03106E10
2013,1.947869E11,5.72477E10,2.785916E11,1.132273E11,2.2203899E12,2.921405E11,2.415174E11,6.17162E10,1.145401E11,8.117517E11,4.647528E11,7.45549E10,6.18358E10,7.411215E11,3.121385E11,1.622003E11,1.444832E11,1.845244E11,2.308325E11,5.44701E10,3.405776E11,4.543212E11,4.372744E11,3.111264E11,1.02371E11,2.80571E11,4.36879E10,1.072607E11,1.320864E11,7.04762E10,5.341778000000001E11,8.87569E10,1.365529E12,4.622689E11,5.4271E10,5.665324E11,1.826947E11,1.795277E11,6.685691E11,5.30341E10,1.850091E11,4.5361E10,2.958627E11,1.5151956E12,1.354504E11,2.92896E10,4.576405E11,4.190924E11,7.14815E10,2.842709E11,3.92898E10
2012,1.892455E11,5.82836E10,2.7144E11,1.084921E11,2.1130964E12,2.768231E11,2.409119E11,6.23546E10,1.12157E11,7.78545E11,4.477647E11,7.19053E10,5.83239E10,7.263991E11,3.005139E11,1.585384E11,1.418182E11,1.781437E11,2.353847E11,5.36797E10,3.325235E11,4.429169E11,4.226912E11,2.983283E11,1.004484E11,2.715351E11,4.23409E10,1.027259E11,1.293129E11,6.84981E10,5.171959E11,8.79252E10,1.3282335E12,4.450953E11,5.18326E10,5.457401E11,1.748744E11,1.74611E11,6.479259E11,5.1583E10,1.776181E11,4.39015E10,2.863415E11,1.4211801E12,1.295125E11,2.92413E10,4.459736E11,4.005306E11,7.03222E10,2.771071E11,3.88554E10
2011,1.839166E11,5.68963E10,2.609157E11,1.057681E11,2.0235E12,2.675161E11,2.331587E11,6.13722E10,1.097304E11,7.5524E11,4.316539E11,6.90839E10,5.69411E10,6.928808E11,2.913561E11,1.484776E11,1.363589E11,1.715869E11,2.29945E11,5.25755E10,3.262812E11,4.25523E11,4.045547E11,2.870393E11,9.6218E10,2.620671E11,4.09951E10,9.99211E10,1.276779E11,6.61532E10,4.959658E11,8.70628E10,1.2476058E12,4.317227E11,4.15877E10,5.281899E11,1.662358E11,1.706309E11,6.248197E11,5.02061E10,1.720751E11,4.18921E10,2.698142E11,1.3413344E12,1.25565E11,2.84187E10,4.351803E11,3.795749E11,6.92341E10,2.663644E11,3.97514E10
2010,1.772492E11,5.33316E10,2.51153E11,1.014865E11,1.9540927E12,2.583002E11,2.347E11,5.81635E10,1.061469E11,7.469289E11,4.180913E11,6.68729E10,5.55876E10,6.664048E11,2.825622E11,1.422339E11,1.285913E11,1.664087E11,2.253089E11,5.22562E10,3.147283E11,4.111361E11,3.90043E11,2.742313E11,9.39431E10,2.598161E11,3.83361E10,9.15615E10,1.246694E11,6.48436E10,4.927624E11,8.46115E10,1.2235297E12,4.200276E11,3.56762E10,5.005153E11,1.542874E11,1.641372E11,6.047368E11,4.94683E10,1.6586E11,3.78525E10,2.57776E11,1.2459594E12,1.186698E11,2.74066E10,4.269924E11,3.654978E11,6.59987E10,2.564329E11,3.76807E10
